Row,Column,Value,Formula
1,1,Income Tax,
1,9,Sliding Scale Commitment Level,
1,13,Sliding Scale Cash Buffer,
1,17,Household Expenditure Measure,
2,1,Upper Limit,
2,2,Rate,
2,3,Carry,
2,9,Income,
2,11,C.L.,
2,13,Income,
2,15,C.B.,
2,17,Lower,
2,18,Upper,
2,19,Single Adult,
2,20,Additional Adult,
2,21,1 Dependent,
2,22,2 Dependents,
2,23,3 Dependents,
2,24,Additional Dependent,
3,1,0,
3,2,0,
3,3,0,
3,9,0,
3,10,10000,
3,11,0.1,
3,13,0,
3,14,20000,
3,15,0,
3,17,0,
3,18,20000,
4,1,18200,
4,2,0.19,
4,3,0,
4,9,=J3+0.01,=J3+0.01
4,10,15000,
4,11,0.15,
4,13,=N3+0.01,=N3+0.01
4,14,55000,
4,15,0,
4,17,=R3+1,=R3+1
4,18,25000,
5,1,45000,
5,2,0.325,
5,3,5092,
5,9,=J4+0.01,=J4+0.01
5,10,20000,
5,11,0.25,
5,13,=N4+0.01,=N4+0.01
5,15,0,
5,17,=R4+1,=R4+1
5,18,30000,
6,1,120000,
6,2,0.37,
6,3,29467,
6,9,=J5+0.01,=J5+0.01
6,10,55000,
6,11,0.35,
6,17,=R5+1,=R5+1
6,18,35000,
7,1,180000,
7,2,0.45,
7,3,51667,
7,9,=J6+0.01,=J6+0.01
7,11,0.4,
7,17,=R6+1,=R6+1
7,18,40000,
8,17,=R7+1,=R7+1
8,18,45000,
9,9,Existing,
9,13,Proposed,
9,17,=R8+1,=R8+1
9,18,50000,
10,1,Medicare Levy,
10,6,Monthly Surplus buffer,
10,7,0.1,
10,9,Product,
10,10,Max Term,
10,13,Product,
10,14,Max Term,
10,15,Max IO,
10,17,=R9+1,=R9+1
10,18,60000,
11,2,Threshold,
11,3,Rate,
11,4,Carry,
11,6,Expected Sales Proceeds,
11,7,0.9,
11,9,CBA Variable Rate Home Loan,
11,10,30,
11,13,CBA Variable Rate Home Loan,
11,14,30,
11,15,5,
11,17,=R10+1,=R10+1
11,18,70000,
12,2,22801,
12,3,0.1,
12,6,Rental Income allowance ,
12,7,0.7,
12,9,CBA Fixed Rate Home Loan,
12,10,30,
12,13,CBA Fixed Rate Home Loan,
12,14,30,
12,15,5,
12,17,=R11+1,=R11+1
12,18,80000,
13,2,28501,
13,3,0.02,
13,6,Access Advantage Factor,
13,7,66.67,
13,9,OFI Home Loan (Other financial institution),
13,10,30,
13,13,Line of Credit,
13,14,25,
13,15,0,
13,17,=R12+1,=R12+1
13,18,90000,
14,9,CBA Line of Credit,
14,10,99,
14,13,Credit Card,
14,14,0,
14,15,0,
14,17,=R13+1,=R13+1
14,18,100000,
15,6,Commitment,
15,7,%,
15,9,OFI Line of Credit (Other financial institution),
15,10,99,
